application_id,seat_allotted
M107Q71,1903
M103Q75,1903
M104Q79,1903
M103M71,1903
M107R51,1903
M108X35,1903
M106R60,1903
M104Z45,1903
M112G76,1903
M103Y50,1904
M108P19,1904
M108S12,1904
M108Y44,1905
M106M56,1904
M112G93,1904
M103B33,1905
M115Y15,1903
M115Y85,1903
M111K40,1903
M114Y74,1903
M116Z46,1904
M103Y11,1904
M101Q38,1904
M102H75,1904
M111T61,2302
M108F55,2302
M107F27,2302
M104E36,2301
M104J78,2301
M109M40,2301
M113W66,1903
M105B46,1903
M107X67,1903
M102G80,1903
M102H87,1903
M113W40,1902
M121G86,1902
M121F81,1902
M106F14,1902
M101U74,1902
M102U72,1902
M118X59,1902
M101B41,1902
M106U68,1902
M104J87,1902
M103P40,1902
M110G11,1902
M112C62,1902
M104D50,1902
M111G92,1902
M116A18,1902
M104D67,1902
M101K58,1902
M117Z27,1902
M106F83,1902
M111V68,1902
M106E46,1902
M101C21,1902
M105R71,1902
M115U32,1902
M104K36,1902
M107F84,1902
M102X90,1902
M117W71,1902
M106K15,1902
M108H85,1902
M103T63,1902
M106W33,1902
M102V68,1902
M111Y49,1902
M102R90,1902
M110P28,1902
M106M47,1902
M116A26,1901
M108D70,1901
M107T39,1901
M102Q60,1901
M116D25,1901
M117X55,1901
M107M21,1901
M106D95,1901
M101B35,1901
M112B49,1901
M115P88,1902
M110T51,1901
M105F15,1901
M113B86,1901
M101J49,1901
M109M27,1902
M107Y71,1901
M107T61,1901
M110H99,1901
M116N15,1901
M102Y25,1902
M102N63,1901
M115G16,1901
M105G47,1902
M120U17,1901
M104H51,1902
M107T64,1902
M101R80,1901
M114C18,1901
M107W39,1903
M105W39,1902
M101M23,1903
M107N44,1901
M119Z23,1903
M102T90,1901
M113X72,1901
M103Y93,1901
M106A20,1901
M114B95,1901
M101Y68,1901
M116N91,1801
M103Q31,2102
M108W47,2102
M106W60,2102
M106K15,2102
M106M99,2102
M110G70,2102
M117E47,2102
M113E16,2102
M102G32,2102
M102F77,2102
M110Y92,2102
M106E15,2101
M116T65,2101
M120U11,1301
M103B57,1301
M105C46,2101
M107T44,2101
M107A80,2101
M104U62,2101
M107S75,2101
M101P81,2101
M103R20,2101
M104C44,2101
M106Q12,1901
M114U12,2101
M111T61,1901
M111T61,2101
M105J26,2101
M103H94,2101
M108F55,1901
M108F55,2101
M101E33,1901
M101E33,2101
M107F27,1901
M103G65,1901
M103G65,2101
M105K32,1901
M107H36,1901
M107H36,2101
M105C56,2101
M102M40,2101
M105C57,1901
M105C57,2101
M106A68,2101
M107Q35,2101
M109N74,2101
M110H88,2101
M108R58,2101
M115P88,2102
M102V36,2101
M105H81,2101
M109P53,2101
M106U79,2101
M107U23,2101
M103V13,2101
M103N43,2101
M105F15,2101
M113B86,2101
M102F82,2101
M107Y71,2101
M107T61,2101
M110H99,2101
M115P64,2101
M116N15,2101
M110T51,2101
M102N63,2101
M101R72,2101
M103V87,2101
M107E49,2101
M112Y27,2101
M101B64,2101
M115G16,2101
M107F63,2101
M103N75,2101
M120U17,2101
M103Z78,2101
M104K34,2101
M106T60,2101
M101R80,2101
M114C18,2101
M104M44,2101
M108F81,2101
M107N44,2101
M107R79,2003
M114W62,2003
M108Z12,2003
M108S40,2003
M105C38,2003
M116W79,2003
M105U61,2003
M108M91,2003
M110E13,2003
M111E93,2003
M103B83,2003
M101Z12,2003
M106D69,2003
M103A52,2003
M111P54,2003
M105E10,1302
M101P71,1302
M113W66,2003
M108U14,2003
M106Q11,2003
M101U33,2003
M103Z66,2003
M110Z45,2002
M113W40,2002
M112K35,2002
M103Q76,2002
M101T55,1901
M104C67,1901
M103X26,1901
M117G35,1805
M120F30,1805
M118E32,1805
M107R79,1805
M121Y93,1805
M122R37,1805
M108Z12,1805
M103A61,1805
M105C38,1805
M113F85,1805
M114X25,1805
M122C63,1805
M120S36,1805
M111F39,1805
M101N84,1805
M101Z12,1805
M110Q61,1302
M108M99,1302
M109Q80,1805
M111Q54,1805
M119T74,1805
M108K81,1805
M101D45,1805
M112H62,1805
M104B68,1805
M102M73,1805
M112S29,1805
M115H53,1805
M108P83,1805
M106D57,1805
M101Y21,1805
M105B46,1805
M102P35,1805
M103K53,1805
M112F32,1805
M104U38,1805
M106Q11,1805
M107P80,1805
M105T91,2003
M101X29,1805
M101Q52,1805
M105U76,2003
M110Z22,1805
M104D41,2101
M104G64,2101
M105R25,2101
M114B49,2101
M107E80,2101
M102Z57,2101
M111Y61,2101
M110A64,2101
M105K92,2101
M103G85,2101
M121Y66,2101
M104U15,2101
M103M62,2101
M101K92,1901
M107A80,1901
M118K80,2003
M102G80,1805
M101N64,1805
M105B76,1805
M103J70,1805
M101M55,1805
M105V83,1805
M101U42,1805
M102S72,1805
M111R13,1805
M102Y88,1805
M101E18,1805
M106C40,1805
M115T77,1805
M105D57,1804
M103D24,1804
M112C45,1804
M102M42,1804
M108H31,1804
M110U71,1804
M109A29,1804
M103C14,1804
M102G17,1803
M107A78,1803
M113V54,1803
M117N98,1803
M101S32,1803
M102A60,1803
M113Z88,1803
M106K23,1803
M104P69,1803
M106C21,1803
M114Y61,1803
M113C13,1803
M117H22,1803
M112Y51,1803
M104T46,1803
M103Y51,1803
M106K30,1803
M114V43,1803
M103J93,1803
M105K80,1803
M117J34,1803
M116J70,1803
M104S28,1803
M111F71,1803
M106Q49,1803
M110T36,1803
M106D37,1803
M101K54,1803
M111P81,1803
M105X23,1803
M106Z20,1803
M106U53,1803
M105U15,1803
M107F72,1803
M103M58,1803
M101K25,1803
M103W75,1803
M105T47,1803
M101W10,1803
M102Q14,1803
M112M33,1803
M102M52,1803
M102Y61,1803
M108X11,1803
M104V90,1803
M105Q48,1803
M102M49,1803
M106T95,1803
M104P29,1802
M105T13,1802
M117R27,1802
M121F44,1802
M119A46,1802
M115J66,1802
M114B49,1803
M107E80,1803
M102Z57,1803
M111Y61,1803
M110A64,1803
M111A99,1803
M103G85,1803
M121Y66,1803
M101K92,1803
M107T44,1803
M107A80,1803
M108R58,1803
M107E49,1803
M112Y27,1803
M115D72,1805
M106K53,1805
M118K80,1805
M108F81,1803
M109K56,1802
M118N10,1802
M111Y71,1802
M106R19,1802
M103Y53,1802
M116X62,1802
M105D23,1802
M104X44,1802
M104G86,1802
M103A34,1802
M109S85,1303
M107J89,1802
M118Z53,1802
M103P68,1802
M111V62,1802
M115M18,1802
M122E29,1802
M118W88,1802
M102V20,1802
M104W72,1802
M107P53,1802
M102Z66,1802
M109K23,1802
M107T85,1802
M103D92,1802
M122M84,1802
M103Y28,1802
M109Z52,1802
M119N28,1802
M101T95,1303
M102B66,1802
M112C84,1303
M112F79,1802
M110F92,1802
M112J25,1802
M117P78,1802
M106D45,1802
M109J65,1802
M120B31,1802
M109X29,1802
M116T43,1802
M105H66,1904
M107N13,1904
M107K57,1904
M105R94,1904
M105M96,1904
M101R38,1903
M101Z80,1903
M123A68,1903
M104R36,1903
M120F30,1903
M113A87,1903
M108S40,1903
M103A61,1903
M116W79,1903
M117S65,1903
M107D25,1903
M113Q83,1903
M106F52,1903
M103Q97,1903
M102F86,1903
M102Y85,1903
M102Z38,1903
M105U61,1903
M110N90,1903
M105Q84,1903
M103B27,1903
M115U52,1802
M101J17,1802
M117S12,1802
M116H77,1802
M102H49,1802
M103N90,1802
M104A77,1802
M102E35,1802
M122Y27,1802
M116Q36,1802
M111D57,1802
M101P19,1802
M115A17,1802
M102D92,1802
M118K72,1802
M110X97,1802
M110T50,1802
M111J82,1802
M103Y98,1802
M118U34,1802
M102V97,1903
M110Z22,1903
M101D62,1802
M111B31,1802
M109M36,1802
M103Z68,1802
M111H33,1802
M106P86,1802
M112U70,1802
M110Q97,1802
M121Y25,1802
M114A45,1802
M111M11,1802
M110Y65,1802
M118U79,1802
M115N85,1802
M101J97,1802
M112J55,1802
M106J75,1802
M106D33,1802
M122M82,1802
M109W18,1802
M111K56,1802
M105M56,1802
M119M47,1802
M103M60,1802
M101V76,1802
M107E62,1802
M106R35,1802
M112S49,1802
M114A35,1802
M119C93,1802
M102N12,1802
M104N60,1801
M117U43,1801
M107R91,1801
M108K78,1801
M101D44,1801
M108J95,1801
M111Q73,1801
M106U91,1801
M111E30,1801
M107K47,1801
M107K22,1801
M108Z39,1801
M107H38,1801
M105F48,1801
M118E32,1703
M114W62,1703
M121N43,1703
M103Z33,1703
M115G15,1703
M105E13,1703
M101D26,1703
M109N70,1703
M104X84,1703
M105H30,1703
M113A87,1703
M108Z12,1703
M111A61,1703
M103A61,1703
M105C38,1703
