application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,acceptance_doc_path,declaration_form_path,undertaking_form_path,bank_challan_path,status_id
M109J64,1601,CY,GEN,4,f,t,/mnt/nas/nas1/set66/bucket14/M109J64/M109J64-ch-20150617193727952,,/mnt/nas/nas1/set66/bucket14/M109J64/M109J64-ch-20150617193749607,/mnt/nas/nas1/set66/bucket14/M109J64/M109J64-ch-20150619201836018,3
M101X68,1701,CY,GEN,3,f,t,/mnt/nas/nas1/set77/bucket53/M101X68/M101X68-ch-2015061710431227,,/mnt/nas/nas1/set77/bucket53/M101X68/M101X68-ch-20150617104334243,/mnt/nas/nas1/set77/bucket53/M101X68/M101X68-ch-20150618132236231,3
M104P70,1215,PH,GEN,3,f,t,/mnt/nas/nas3/set4/bucket1/M104P70/M104P70-ch-20150617093725154,,/mnt/nas/nas3/set4/bucket1/M104P70/M104P70-ch-20150617094222401,/mnt/nas/nas3/set4/bucket1/M104P70/M104P70-ch-20150617130701735,3
M101S14,1303,PH,GEN,3,t,t,/mnt/nas/nas2/set51/bucket31/M101S14/M101S14-ch-20150618095616235,/mnt/nas/nas2/set51/bucket31/M101S14/M101S14-ch-20150618095629151,/mnt/nas/nas2/set51/bucket31/M101S14/M101S14-ch-20150618095640731,/mnt/nas/nas2/set51/bucket31/M101S14/M101S14-ch-20150619122250552,3
M102Y62,1502,MA,GEN,3,f,t,/mnt/nas/nas2/set94/bucket17/M102Y62/M102Y62-ch-2015061621241569,,/mnt/nas/nas2/set94/bucket17/M102Y62/M102Y62-ch-20150616205920385,/mnt/nas/nas2/set94/bucket17/M102Y62/M102Y62-ch-20150617145431174,3
M106P61,1303,PH,GEN,1,f,f,/mnt/nas/nas1/set17/bucket29/M106P61/M106P61-ch-20150617122601526,,,/mnt/nas/nas1/set17/bucket29/M106P61/M106P61-ch-20150618113308721,3
M109J50,1303,PH,GEN,3,t,f,/mnt/nas/nas1/set84/bucket74/M109J50/M109J50-ch-20150617120744831,/mnt/nas/nas1/set84/bucket74/M109J50/M109J50-ch-20150617120922795,,/mnt/nas/nas1/set84/bucket74/M109J50/M109J50-ch-20150619223414719,3
M106U42,1301,CY,GEN,1,f,f,/mnt/nas/nas3/set57/bucket55/M106U42/M106U42-ch-20150617131618383,,,/mnt/nas/nas3/set57/bucket55/M106U42/M106U42-ch-20150617143626364,3
M117V20,1301,CY,GEN,1,f,f,/mnt/nas/nas3/set98/bucket75/M117V20/M117V20-ch-20150617201001789,,,/mnt/nas/nas3/set98/bucket75/M117V20/M117V20-ch-20150618112710368,3
M109V36,1202,PH,GEN,1,f,t,/mnt/nas/nas2/set78/bucket81/M109V36/M109V36-ch-20150618111652701,,/mnt/nas/nas2/set78/bucket81/M109V36/M109V36-ch-20150618111812284,/mnt/nas/nas2/set78/bucket81/M109V36/M109V36-ch-20150618180231754,3
